matchID,Player,playerWin,variable,mon
687880913,PlatypusVGC,0,Brought1,Snorlax
687880913,blckkkkkk,1,Brought1,Mimikyu
699150312,Gioppy,1,Brought1,Thundurus
699150312,bling blao,0,Brought1,Mawile
694270034,AV-Linkyoshimario,1,Brought1,Metagross
694270034,PinkSylvie,0,Brought1,Azumarill
701655216,Kamaal,0,Brought1,Charizard
701655216,wiegelinho,1,Brought1,Kangaskhan
701581770,frania \xe2\x99\x94,0,Brought1,Charizard
701581770,KillerQueenVGC,1,Brought1,Manectric
698277589,Footstool,0,Brought1,Cresselia
698277589,junioichi,1,Brought1,Charizard
702163083,iMagikarp,0,Brought1,Cresselia
702163083,EnigneVGC,1,Brought1,Snorlax
701450319,Knappi,0,Brought1,Scrafty
701450319,Lore95VGC,1,Brought1,Heatran
709465819,8 Maids a-Milking,0,Brought1,Pelipper
709465819,LUKAMIR,1,Brought1,Metagross
698673893,AgentOrangeJulius,0,Brought1,Tapu Fini
698673893,iMagikarp,1,Brought1,Gengar
695696239,rpindahouse,1,Brought1,Charizard
695696239,Xenoblade Hero,0,Brought1,Kangaskhan
705944006,junioichi,1,Brought1,Landorus
705944006,Lore95VGC,0,Brought1,Charizard
697722254,Eakes,1,Brought1,Latias
697722254,LightCore,0,Brought1,Camerupt
686918972,sandymarech,0,Brought1,Landorus
686918972,Boomguy,1,Brought1,Tyranitar
698204411,5 Stolen Rings,1,Brought1,Tapu Lele
698204411,ApplePieVGC,0,Brought1,Metagross
712633648,Footstool,0,Brought1,Tapu Fini
712633648,TheBattleRoom,1,Brought1,Tapu Bulu
717990094,KillerQueenVGC,0,Brought1,Swampert
717990094,rapha123,1,Brought1,Ludicolo
709065403,Knappi,1,Brought1,Cresselia
709065403,EnigneVGC,0,Brought1,Incineroar
692408528,bling blao,1,Brought1,Kangaskhan
692408528,SpringsVGC,0,Brought1,Whimsicott
708643324,Yoshiandlugia,0,Brought1,Landorus
708643324,Brodasenpai,1,Brought1,Salamence
712593365,BlackO_VGC,0,Brought1,Landorus
712593365,Knappi,1,Brought1,Tapu Koko
711522102,MasterWizardVGC,1,Brought1,Scrafty
711522102,Sebixxl,0,Brought1,Salamence
698684366,gummyfoxes,1,Brought1,Incineroar
698684366,MajorBowman,0,Brought1,Manectric
694270319,AV-Linkyoshimario,0,Brought1,Metagross
694270319,PinkSylvie,1,Brought1,Azumarill
702718169,WinterH~\xe2\x99\xaa,0,Brought1,Tapu Lele
702718169,mudhiman,1,Brought1,Landorus
701331169,leimin,1,Brought1,Tapu Fini
701331169,DaWoblefet,0,Brought1,Persian
720103420,TheBattleRoom,0,Brought1,Gengar
720103420,Cobalte,1,Brought1,Metagross
691371785,JZG,1,Brought1,Latias
691371785,triceratops5,0,Brought1,Latias
718087458,JZG,0,Brought1,Metagross
718087458,mudhiman,1,Brought1,Incineroar
684087311,Ezrael,1,Brought1,Charizard
